start	end	read depth
2396000	2397999	0
2398000	2399999	0
2400000	2401999	0
2402000	2403999	0
2404000	2405999	0
2406000	2407999	0
2408000	2409999	0
2410000	2411999	0
2412000	2413999	0
2414000	2415999	0
2416000	2417999	0
2418000	2419999	0
2420000	2421999	0
2422000	2423999	0
2424000	2425999	0
2426000	2427999	0
2428000	2429999	0
2430000	2431999	0
2432000	2433999	0
2434000	2435999	0
2436000	2437999	0
2438000	2439999	0
2440000	2441999	0
2442000	2443999	0
2444000	2445999	0
2446000	2447999	0
2448000	2449999	0
2450000	2451999	0
2452000	2453999	0
2454000	2455999	0
2456000	2457999	0
2458000	2459999	0
2460000	2461999	0
2462000	2463999	0
2464000	2465999	0
2466000	2467999	0
2468000	2469999	0
2470000	2471999	0
2472000	2473999	0
2474000	2475999	0
2476000	2477999	0
2478000	2479999	0
2480000	2481999	0
2482000	2483999	0
2484000	2485999	0
2486000	2487999	0
2488000	2489999	0
2490000	2491999	0
2492000	2493999	0
2494000	2495999	0
2496000	2497999	0
2498000	2499999	0
2500000	2501999	0
2502000	2503999	0
2504000	2505999	0
2506000	2507999	0
2508000	2509999	0
2510000	2511999	0
2512000	2513999	0
2514000	2515999	0
2516000	2517999	0
2518000	2519999	0
2520000	2521999	0
2522000	2523999	0
2524000	2525999	0
2526000	2527999	0
2528000	2529999	0
2530000	2531999	0
2532000	2533999	0
2534000	2535999	0
2536000	2537999	0
2538000	2539999	0
2540000	2541999	0
2542000	2543999	0
2544000	2545999	0
2546000	2547999	0
2548000	2549999	0
2550000	2551999	0
2552000	2553999	0
2554000	2555999	0
2556000	2557999	0
2558000	2559999	0
2560000	2561999	0
2562000	2563999	0
2564000	2565999	0
2566000	2567999	0
2568000	2569999	0
2570000	2571999	0
2572000	2573999	0
2574000	2575999	0
2576000	2577999	0
2578000	2579999	0
2580000	2581999	0
2582000	2583999	0
2584000	2585999	0
2586000	2587999	0
2588000	2589999	0
2590000	2591999	0
2592000	2593999	0
2594000	2595999	0
2596000	2597999	0
2598000	2599999	0
2600000	2601999	0
2602000	2603999	0
2604000	2605999	0
2606000	2607999	0
2608000	2609999	0
2610000	2611999	0
2612000	2613999	0
2614000	2615999	0
2616000	2617999	0
2618000	2619999	0
2620000	2621999	0
2622000	2623999	0
2624000	2625999	0
2626000	2627999	0
2628000	2629999	0
2630000	2631999	0
2632000	2633999	0
2634000	2635999	0
2636000	2637999	0
2638000	2639999	0
2640000	2641999	0
2642000	2643999	0
2644000	2645999	0
2646000	2647999	0
2648000	2649999	0
2650000	2651999	0
2652000	2653999	0
2654000	2655999	0
2656000	2657999	0
2658000	2659999	0
2660000	2661999	0
2662000	2663999	0
2664000	2665999	0
2666000	2667999	0
2668000	2669999	0
2670000	2671999	0
2672000	2673999	0
2674000	2675999	0
2676000	2677999	0
2678000	2679999	0
2680000	2681999	0
2682000	2683999	0
2684000	2685999	0
2686000	2687999	0
2688000	2689999	0
2690000	2691999	0
2692000	2693999	0
2694000	2695999	0
2696000	2697999	0
2698000	2699999	0
2700000	2701999	0
2702000	2703999	0
2704000	2705999	0
2706000	2707999	0
2708000	2709999	0
2710000	2711999	0
2712000	2713999	0
2714000	2715999	0
2716000	2717999	0
2718000	2719999	0
2720000	2721999	0
2722000	2723999	0
2724000	2725999	0
2726000	2727999	0
2728000	2729999	0
2730000	2731999	0
2732000	2733999	0
2734000	2735999	0
2736000	2737999	0
2738000	2739999	0
2740000	2741999	0
2742000	2743999	0
2744000	2745999	0
2746000	2747999	0
2748000	2749999	0
2750000	2751999	0
2752000	2753999	0
2754000	2755999	0
2756000	2757999	0
2758000	2759999	0
2760000	2761999	0
2762000	2763999	0
2764000	2765999	0
2766000	2767999	0
2768000	2769999	0
2770000	2771999	0
2772000	2773999	0
2774000	2775999	0
2776000	2777999	0
2778000	2779999	0
2780000	2781999	0
2782000	2783999	0
2784000	2785999	0
2786000	2787999	0
2788000	2789999	0
2790000	2791999	0
2792000	2793999	0
2794000	2795999	0
2796000	2797999	0
2798000	2799999	0
2800000	2801999	0
2802000	2803999	0
2804000	2805999	0
2806000	2807999	0
2808000	2809999	0
2810000	2811999	0
2812000	2813999	0
2814000	2815999	0
2816000	2817999	0
2818000	2819999	0
2820000	2821999	0
2822000	2823999	0
2824000	2825999	0
2826000	2827999	0
2828000	2829999	0
2830000	2831999	0
2832000	2833999	0
2834000	2835999	0
2836000	2837999	0
2838000	2839999	0
2840000	2841999	0
2842000	2843999	0
2844000	2845999	0
2846000	2847999	0
2848000	2849999	0
2850000	2851999	0
2852000	2853999	0
2854000	2855999	0
2856000	2857999	0
2858000	2859999	0
2860000	2861999	0
2862000	2863999	0
2864000	2865999	0
2866000	2867999	0
2868000	2869999	0
2870000	2871999	0
2872000	2873999	0
2874000	2875999	0
2876000	2877999	0
2878000	2879999	0
2880000	2881999	0
2882000	2883999	0
2884000	2885999	0
2886000	2887999	0
2888000	2889999	0
2890000	2891999	0
2892000	2893999	0
2894000	2895999	0
2896000	2897999	0
2898000	2899999	0
2900000	2901999	0
2902000	2903999	0
2904000	2905999	0
2906000	2907999	0
2908000	2909999	0
2910000	2911999	0
2912000	2913999	0
2914000	2915999	0
2916000	2917999	0
2918000	2919999	0
2920000	2921999	0
2922000	2923999	0
2924000	2925999	0
2926000	2927999	0
2928000	2929999	0
2930000	2931999	0
2932000	2933999	0
2934000	2935999	0
2936000	2937999	0
2938000	2939999	0
2940000	2941999	0
2942000	2943999	0
2944000	2945999	0
2946000	2947999	0
2948000	2949999	0
2950000	2951999	0
2952000	2953999	0
2954000	2955999	0
2956000	2957999	0
2958000	2959999	0
2960000	2961999	0
2962000	2963999	0
2964000	2965999	0
2966000	2967999	0
2968000	2969999	0
2970000	2971999	0
2972000	2973999	0
2974000	2975999	0
2976000	2977999	0
2978000	2979999	0
2980000	2981999	0
2982000	2983999	0
2984000	2985999	0
2986000	2987999	0
2988000	2989999	0
2990000	2991999	0
